trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 2.8500000000000076}",30,0,-196.38518545228342,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 2}",0
44,False,"{'a': 0.5, 'e': 2.800000000000008}",20,0,-87.09913785052377,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 2.750000000000008}",20,6,-94.22427371773429,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 2}",1
46,False,"{'a': 0.5, 'e': 2.700000000000008}",20,0,-61.312167224469576,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 2.6500000000000083}",20,0,-133.81736312544268,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 2.6000000000000085}",20,0,-56.96140412297271,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 2.5500000000000087}",30,0,-124.13690994465907,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
50,False,"{'a': 0.5, 'e': 2.500000000000009}",20,0,-152.9937856452419,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
51,False,"{'a': 0.5, 'e': 2.450000000000009}",20,0,-64.24432391831678,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 2.4000000000000092}",25,0,-233.7969612844041,"{0: 13, 1: 0, 2: 7, 3: 1, 4: 4}",0
53,False,"{'a': 0.5, 'e': 2.3500000000000094}",30,0,-168.7247578437202,"{0: 15, 1: 5, 2: 8, 3: 0, 4: 2}",0
54,False,"{'a': 0.5, 'e': 2.3000000000000096}",20,0,-127.98860115421924,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
55,False,"{'a': 0.5, 'e': 2.2500000000000098}",20,0,-119.58566921580324,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 2.20000000000001}",25,0,-157.0989322121248,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
57,False,"{'a': 0.5, 'e': 2.15000000000001}",25,0,-181.69615901389557,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
58,False,"{'a': 0.5, 'e': 2.1000000000000103}",20,0,-34.729451923211336,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 2.0500000000000105}",20,0,-97.91720131819343,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
60,False,"{'a': 0.5, 'e': 2.0000000000000107}",20,0,-77.64071732085951,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
61,False,"{'a': 0.5, 'e': 1.9500000000000106}",20,0,-74.09876423728355,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
62,False,"{'a': 0.5, 'e': 1.9000000000000106}",25,0,-126.08262809757522,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 1.8500000000000105}",30,0,-98.34707990278004,"{0: 22, 1: 5, 2: 1, 3: 0, 4: 2}",0
64,False,"{'a': 0.5, 'e': 1.8000000000000105}",25,0,-179.4826584914943,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
65,False,"{'a': 0.5, 'e': 1.7500000000000104}",35,0,-116.06238348064524,"{0: 24, 1: 6, 2: 3, 3: 0, 4: 2}",0
66,False,"{'a': 0.5, 'e': 1.7000000000000104}",25,0,-149.30159235126533,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0
67,False,"{'a': 0.5, 'e': 1.6500000000000103}",25,0,-129.03857135302744,"{0: 12, 1: 7, 2: 3, 3: 2, 4: 1}",0
68,False,"{'a': 0.5, 'e': 1.6000000000000103}",30,0,-84.79640760816005,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 1.5500000000000103}",25,0,-78.43804070050882,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 1.5000000000000102}",20,1,-125.66365708569478,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 1}",1
71,False,"{'a': 0.5, 'e': 1.4500000000000102}",25,0,-142.02211137273883,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
72,False,"{'a': 0.5, 'e': 1.4000000000000101}",25,0,-107.83400648386515,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
73,False,"{'a': 0.5, 'e': 1.35000000000001}",20,0,-138.8104704969245,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
74,False,"{'a': 0.5, 'e': 1.30000000000001}",25,10,-84.71201891960402,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 2}",1
75,False,"{'a': 0.5, 'e': 1.25000000000001}",35,0,-158.40793541052497,"{0: 19, 1: 2, 2: 11, 3: 3, 4: 0}",0
76,False,"{'a': 0.5, 'e': 1.20000000000001}",25,0,-85.33484413722383,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
77,False,"{'a': 0.5, 'e': 1.15000000000001}",25,0,-172.5043839458548,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
78,False,"{'a': 0.5, 'e': 1.1000000000000099}",20,14,-12.556653493244248,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
79,False,"{'a': 0.5, 'e': 1.0500000000000098}",30,0,-147.27236190831866,"{0: 16, 1: 4, 2: 6, 3: 4, 4: 0}",0
80,False,"{'a': 0.5, 'e': 1.0000000000000098}",30,0,-224.79551236453287,"{0: 12, 1: 7, 2: 8, 3: 0, 4: 3}",0
81,False,"{'a': 0.5, 'e': 0.9500000000000097}",20,7,-7.652300830890643,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.9000000000000097}",20,0,-109.03263206009879,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.8500000000000096}",30,0,-104.49360642884258,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 3}",0
84,False,"{'a': 0.5, 'e': 0.8000000000000096}",25,0,-55.4710427379827,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.7500000000000095}",20,0,-24.481287663271345,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.7000000000000095}",20,6,-24.137906229709998,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.6500000000000095}",20,0,-27.184870237379027,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.6000000000000094}",20,14,-0.6292575395932523,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.5500000000000094}",20,0,-21.84565854598245,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.5000000000000093}",35,0,-168.81243235417173,"{0: 25, 1: 2, 2: 3, 3: 2, 4: 3}",0
91,False,"{'a': 0.5, 'e': 0.45000000000000934}",25,5,11.297337926134443,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.40000000000000935}",20,0,-54.54470800826133,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.35000000000000936}",20,0,-31.009301246640966,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.30000000000000937}",20,9,-95.103294210851,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 2}",1
95,False,"{'a': 0.5, 'e': 0.2500000000000094}",30,20,17.89393772239315,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.2000000000000094}",25,15,15.24821513989843,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.1500000000000094}",30,24,11.65482930521495,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.1000000000000094}",30,12,13.644651638946396,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.0500000000000094}",20,8,22.1046397006093,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 9.395262345890387e-15}",20,13,10.834908100617962,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,16,6.4809995337318345,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,16,19.075298947036693,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,10,15.983295023809369,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",35,23,22.778800346394664,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,8,27.98962018633805,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,14,16.37450882960626,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,12,14.70639363236192,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,4,33.18851266348656,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,10,20.450985289375776,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,32.682897632430866,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,True,"{'a': 0, 'e': 0}",30,12,26.68177216129179,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,6,30.22402141267349,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,0,35.939938999675576,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,13,16.765537119708895,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,4,23.215937010961788,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,6,24.769064823393972,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",25,13,21.67905201859561,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",30,13,27.78506353484969,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",30,16,29.932892525022865,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",25,18,11.63609422623975,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
